Timestamp,"
Q1. How would you feel if the system provides secure online club registration?","
Q2. How would you feel if login authentication is secure and reliable?","
Q3.How would you feel if club leaders can create new events online?    ","
Q4.  How would you feel if club leaders can view and track club budget balances?","
Q5. How would you feel if the system sends automatic notifications for approvals, rejections, or updates?","Q6. The addition of Accessibility features such as color contrast , highlighted text etc.","
Q7.  How would you feel if the event creation process is efficient and guided (wizard)? ","
Q8. How would you feel if the system provides real-time updates on budget spending?","
Q9. How would you feel if there is a searchable venue database (location, size, availability)?","
Q10. How would you feel if you can RSVP to register for events easily?    ","
Q11. How would you feel if you can export club financial data to CSV files?","
Q12. How would you feel if interested students can apply to join a club online?","
Q13. How would you feel if you have a personal dashboard showing upcoming events, budget graphs, and reminders?    ","
Q14. How would you feel if you receive mobile push notifications for critical updates?","
Q15. How would you feel if the system sends reminder alerts before your “interested” events?","
Q16. How would you feel if the system recommends clubs that might interest you?",Q17. A section to highlight trending Clubs,Q18. The abillity for club members  to message each other.,Q19. How would you feel about getting points/awards (badges/titles) for participating in club events
28/04/2025 13:50:23,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 14:12:31,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 14:14:48,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 14:26:04,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 14:43:05,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 14:51:14,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 15:05:25,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied,I would be very satisfied
28/04/2025 16:29:41,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 16:30:29,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 16:43:05,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 16:51:59,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 17:32:48,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 18:50:33,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 19:03:19,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 19:38:53,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 20:01:40,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 23:06:44,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 23:18:11,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
28/04/2025 23:44:47,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
29/04/2025 00:38:07,I would be very dissatisfied,I would be very dissatisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very dissatisfied,I would be very dissatisfied,I would be satisfied,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be neutral,I would be very satisfied,I would be neutral,I would be very satisfied,I would be satisfied,I would be very satisfied,I would be very satisfied,I would be neutral
